1; صدقيني الحلم هدا ربنا غير يفرجها عليك لانو المرض فرج 
1; انا حبيت شخص صارلنا شي سنين كان متعلق فيني وانا متعلقه فيه كتير
1; ابني هيك طلبو حكالي خواتها محترمات وحب عيلتكم كتير
1; سمعت انو نوعا ما منيح وسعرو مش غالى 
1; عالجت شعري بالزيوت وكبسولات الزيت وتحسن وصار احسن بكتير وابعدي عن الصبغات كلها مضره للشعر بسبب الاكسجين 
1; الزيوت احسن من الفرد حتى لو شعرك مش ناعم الفرد بيدمر اكتر ما بيعمر 
1; كريم زيدكس ممتاز مابيخلي ولا حبه بالوجه 
1; المشاكل والامور الي بتنعرض ع الصفحه كثير مفيده لانه الوحده بتوخذ افكار وبتتعرف على حل مشاكل بتصير معنا 
1; الجروب مميز وشامل كل المواضيع 
1; طبيعي انه الكنه تكون متريحه بحياتها مع زوجها لمن حماتها بتحبها صدقيني 
1; المهم ربنا يكون راضي عنك وانتي تكوني راضيه عن حالك مش مهم رضا حد بعد هيك  
1; الله يخليلي حماتي فش منها الحمد لله 
1; ان بتعامليها بنفس طيبه وقلب صادق بتلاقي ربنا معك وكل الدنيا معك 
1; مو كل الحماوات واحد حماتي عسل وكل شي بيرضيها وبتدعيلي 
1; خدي حالك وروحي لزوجك وحلوها بالود 
1; ايمان ولا في اطيب من قلبها ولو نميتي عليا انا مسامحاكي من كل قلبي 
1; طول عمرك فله يا غاده والله بيتك يتلحس العسل من وراه 
1; انتي اشطر بالطبخ مني هه 
1; يمكن جوزك حكي هيك من باب المزح مش اكتر احسني الظن فيه
1; الاولاد بوثقو العلاقه بين الزوج والمراه الله يصلح حالنا ويهدينا اجمعين 
1; يختي اكيد بيمزح ما تدقوا على كل حاجه 
1; ربنا معك ادرسي وانجحي واشتغلي ماتخلي راجل زي هاد يكسرك
1; كملي در استك الله كريم يمهل ولا يهمل 
1; حبيبتي انشاء الله ربنا بعوضك بأحسن منو وأحسن شغله فكرتي فيها انك تكملى تعليمك
1; رح تكوني وحده تانيه وحده قويه وقد حالها اثبتت نفسها وعرفت هيا مين 
1; عادي بدها شويه وقت تتقبل انا بنتي غلبتني كتير بس مع الوقت بتنسر 
1; محتاج حب و حنان و امان عوضيه كل هالشغلات و طولي بالك عليه  
1; اسهري ع حماتك واعمليلك اشي حلو وخديه معك وربنا يهدي النفوس ويريح بالكم ي رب 
1; للي بدها تعيش بدها تتحمل
1; كوني مبتسمه مش نكديه
1; حاولي تفهمي ع جوزك و حلي مشاكلك لحالك بدون ما تدخلي اهلك وتكبر المشكله 
1; سدقينى للرجال اطفال واى حاجه حلوه بتفرحهم استملكى جوزك وديرى بالك ع اهلو 
1; كلام الأخت ميه بالميه وهادا تفكير بنات الأصل الله يهديكي ويفتحلك الأبواب المغلقه انشاء الله 
1; زوجي الحمد لله انسان محترم و خلوق 
1; لانه انتي وزوجك كانكم شحص واحد 
1; زوجك سندك وكمان فيه شي دايما امي بتحكيلي ياه اوعي تزعلي جوزك لانو الرجال لما بيزعلوا كتير بيمرضو دغري
1; اذا محررز بيعه بضمان طبعا 
1; وبعرف كتير باعو دهبهم بزنقه جوازهم وهلا جوازهم بخيرو معهم يرجعوا دهب نسوانهم
1; مدام الحب موجود طز مليون مره بالدهب بكره بيتحسن وضعو وبيجيبلك احلى ذهب وبيلاقيها منك قد الدنيا
1; حبيبتي الحب والاحترام اشي وحق الزوجه عند ربنا اشي تاني 
1; لا بالعكس ربنا هيطرحلها البركه وهيعوضها خير 
1; الحين الحمد لله مش ناقصني اشي اشتريت دار ملك وعندي بنتين ودخل جوزى منيح وجوزي راضي عني وعايشين 
1; المرأه لاز تكون اوعى ع حقوقها ومصلحتها وبالذات مع نصفهالآخر الي عايشه معه العمر 
1; الحمد لله عندي فهم يكفيني انه ارتقى بطرحه من دون ما يجرح حدا 
1; النقاش لا يفسد للود قضيه 
1; بيعي ما تزعلي عذهب زوجك هو الذهب سيبي الزمن لله تعالى ربنا حيعوضك خير 
1; مركب الضراير صارت ومركب السلفات غارت طنشي تعيشي تنتعشي 
1; واكيد راح تتقبل والدليل على هيك انت بتحكي ظلمتها سنوات ولازالت عايشه معك 
1; الامن الي عشانه بظل حكومه حماس باول سنين من حكمها بخلينا نوقف وقفه صح 
1; الحمد لله الجهتين زي النيله ما بهمهم غير الكراسي ونقطه اخر السطر 
1; حماس لو بدها الحرب تقوم لزمان قامت حرب بس حماس مش معنيه بحرب
1; ديري بالك ع حالك مريومه بلاش تلبسي دهبك وانتي طالعه 
1; ربنا يسلم الجميع ويهدي البال 
1; هه لزيزه يا مها 
1; هه تخافيش وكلي امرك للي خلقك 
1; هدا نوعه رائع جدا جربته حسب ما اذكر اسمه  
1; بس حاليا صار الوضع عادي  
1; انا صحبه مع سلافي وقريبه منهم وعلاقتنا حلوه
1; المهم لما تشوفوا بعض تسلموا عبعض وتكون الأجواء سليمه
1; تعاملى بأخلاقك وطيبتك وبادريها بالمعامله الحسنه
1; هادا الموضوع ما بيجي بقرار شخصي فكره العلاقات الناجحه بيحددها الطرفين ازا كان على اللمه والعلاقات الحلوه كلنا بدنا اياها
1; ياجماعه نيتها خير شحعوها ماتخوفوها 
1; خليكو بالمواضيع السطحيه وماتتعمقو بالعلاقات الخاصه 
1; لو انتي ضليتي معها منيحه حتصير كويسه معك وتصيروا زي الخوات واحسن 
1; بيبيع عجينه وحكالي انها ممتازه وماحتشوفي طول عمرك ولا صرصور 
1; عادي في مطلقات باخدو عزابيه كتير بعرف بس نصيب 
1; يجماعه اعذرونى اللى عندها بنت حلوه بجدد ومحترمه وبنت عيشه تدلنى والله زهقت وانا بدور لاخى والكل بدلنى وما بتطلع متل مبيحكو 
1; والله انا بحب النظافه اليوم عزلت البيت كلو ولمعتو وغسلت غسيل وسجاد وشبيابيك والسراميك واخدت شاور 
1; ولله بحبك من كل قلبي لازم تفهمي عليه 
1; انا الحمدلله متجوزه ومعي ولد وصحتي كويسه
1; وهو ما زعل بالعكس قعد يهدي فيا ويراضيني ويحكيلي دائما احكي الحمدلله وتفكريش اني هتخلى عنك  بسبب مرضك 
1; والايات القرأنيه والحمد هادي شي كويس وهي حل لامورك 
1; طول العمر والصحه ان شاء الله 
1; راح تمري باوقات صعبه او ضائقه بس بالاخر راح تفرج
1; وراح يكون زوجك سند ليكي ابشري خير 
1; كوني رسميه جدا ولا تخجلي ولت عبالك وامسحي كل الماضي من بالك واعتبري ماصار ولاشي 
1; ما ظلمتيه يعني كل اشي قسمه ونصيب 
1; لا ما ظلمتيه اصلا احسن شي عملتيه انك تركتيه وتزوجتي لو ما عملتي هيك وضليتي بدون جيزه كان ما فكر ياخدك 
1; وبس تشوفيه حاولي تسيطري ع حالك وما تلفتي انتباه اهلك واختك 
1; انا مش مصدقه معقول هيك 
1; اذا كان كويس مع اختك طنشي وما تفكري بشي غير سعادتك وسعاده اختك 
1; ممكن توصل لطلاقهم التنتين بس من ورا الهبل 
1; اختك عندهم هى و زوجها و تعالى عند اهلك بيوم تانى حتى ما تلتقى فيهم كتير يعنى خلى مقابلاتك مع اختك بالصدفه او اعملى اى حجه ما تيجى معاها 
1; عجبتنى القصه بدنا النهايه مسلسل تركي رائع 
1; واهتمي باولادك وزوجك الله يسعدك ويبعد عنك كل شر 
1; الله يهدي سرك ي اختي بكره بتتعودو والامور بتمشي طبيعي 
1; ولاتفكرى بالماضى ما دامه راح خليكى بالحاضر 
1; تزعليش لو مالك ذنب خلص
1; معليش حبيبتي انتي عملتي اللي عليكي وحاولتي تفهميها الصح بس هي رفضت انتي ماعليكي حق
1; للاسف شعرى اصلو منيح كتيير 
1; شعرى خميل الحمد الله بالله تغيدونى ميشان 
1; ليش مزعوجه من كلامي كل هاذا 
1; بالعكس بكون مبسوطه يعني مستحيل اتدايق
1; الحل بنظري انك اتطعميهم من اي ايشي بتعمليه ولو ايشي بسيط وتحبيهم متل اهلك وما تبخلي عليهم بشي 
1; والله لومابحبوكى مابطلعو عندك وياكلو من اكلك هدا يدل على حبهم الك 
1; اعتبريهم اهلك لا تبخلي عليهم بشي والله ما راح ينسا كرمك وعطفك عليهم
1; وراح ان شاءالله يعطيكي ويرزقك ويبارك الك في مالك و اولادك 
1; اعتبريها صدقه تحميكي انت وزوجك 
1; ساوي لله ياخيتي والله ربنا راح يطرحلك البركه ف بيتك زوجك واولادك دايما ارمي كلام الناس ورا ضهرك والله لترتاحي 
1; والله قصصكم في كل بيت ياريت تيجي على قدر الاكل الحمدلله صابرين 
1; اهلو الهم حق ع جوزك ارتقو شوى 
1; هاد عادي وطبيعي عودي نفسك تعطي مو خسرانه شي 
1; ماشايفه فيها شي ومش شرط استكساب وخديها بروح حلوه ونيه حلوه ما بتلاقي حالك مدايقه 
1; وبعدين هاد دليل انو حبين نفسك علي الاكل وحابين طبخك ماظنيت هاد دليل كره 
1; عادى لا تقلقى بكون بس متعلق فيكى كتيرر وشكلو اول طفل 
1; احلى حاجه حد صاحلو ينام و القمر بحضن هه 
1; الله يحميه عبود القمرر بيحقله يتدلع 
1; بنتي كانت هيك ولا شي عادي وطبيعي الله لا يحرمكو من بعضي ويخلي كل الاولاد له امهاتها يارب 
1; اه كتيير حلو فعلا 
1; الله يسعدك بكل الخير 
1; انا عن نفسي بحب فقره الاسئلهه بس التعليقات غرببه 
1; وبصراحه الجروب حلو ومفيد و انا بتعلم منو الطبخ ويستفيد وهوا منيح ومترديش عليهم 
1; بالعكس تماما كل اشي بالجروب حلو من واقع حياتنا وبنستفيد من بعض 
1; حتلاقي كل التعليقات مثاليه ومافيها اي خطأ 
1; كل شي نزلوه بنقرا وبنتسلا 
1; الي عندها خبر حللو تنزلو من دون تردد 
1; معك بكل كلمه ياربا ويسعد صباحك 
1; الجروب ممتاز ورائع وكله صبايا 
1; كل واحده تعطي رايها والكل بيستفيد ما في اي اعتراض
1; وفي اخبار ما بنعرفها بنعرفها هون يعني شي حلو 
1; الجروب رائع استمروا تردوش ع حدا 
1; حبيت البوست سلامتك من الجلطه 
1; الجروب حلو وبنستفيد منو ويلي ما بيعجبها تسكت او الله معها ما حد بيجبرهم يشوفو اشي ما يعجبهم 
1; كل شي فيه حلو انتي مزوقه ربا 
